protocol,source_ip,source_port,destination_ip,destination_port,details
TCP,192.168.2.201,34917,134.224.240.213,443,Possible SSL/TLS traffic
TCP,134.224.240.213,443,192.168.2.201,34917,Possible SSL/TLS traffic
TCP,134.224.240.213,443,192.168.2.201,34917,Possible SSL/TLS traffic
TCP,192.168.2.201,34917,134.224.240.213,443,Possible SSL/TLS traffic
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
TCP,192.168.2.201,35627,192.168.2.1,53,
TCP,192.168.2.201,35628,192.168.2.1,53,
TCP,192.168.2.201,35629,192.168.2.1,53,
TCP,192.168.2.1,53,192.168.2.201,35628,
TCP,192.168.2.1,53,192.168.2.201,35629,
TCP,192.168.2.201,35628,192.168.2.1,53,
TCP,192.168.2.201,35629,192.168.2.1,53,
TCP,192.168.2.1,53,192.168.2.201,35627,
TCP,192.168.2.201,35627,192.168.2.1,53,
TCP,192.168.2.201,35629,192.168.2.1,53,
TCP,192.168.2.201,35629,192.168.2.1,53,
TCP,192.168.2.201,35628,192.168.2.1,53,
TCP,192.168.2.201,35628,192.168.2.1,53,
TCP,192.168.2.201,35627,192.168.2.1,53,
TCP,192.168.2.201,35627,192.168.2.1,53,
TCP,192.168.2.1,53,192.168.2.201,35629,
TCP,192.168.2.1,53,192.168.2.201,35629,
TCP,192.168.2.1,53,192.168.2.201,35628,
TCP,192.168.2.1,53,192.168.2.201,35628,
TCP,192.168.2.1,53,192.168.2.201,35627,
TCP,192.168.2.1,53,192.168.2.201,35627,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
TCP,192.168.2.1,53,192.168.2.201,35628,
Other,None,-,None,-,
Other,None,-,None,-,
TCP,192.168.2.1,53,192.168.2.201,35629,
Other,None,-,None,-,
TCP,192.168.2.201,35629,192.168.2.1,53,
TCP,192.168.2.201,35629,192.168.2.1,53,
Other,None,-,None,-,
TCP,192.168.2.201,35628,192.168.2.1,53,
Other,None,-,None,-,
TCP,192.168.2.201,35627,192.168.2.1,53,
Other,None,-,None,-,
TCP,192.168.2.201,35630,185.40.232.170,443,Possible SSL/TLS traffic
TCP,192.168.2.1,53,192.168.2.201,35629,
TCP,192.168.2.1,53,192.168.2.201,35629,
TCP,192.168.2.1,53,192.168.2.201,35628,
TCP,192.168.2.1,53,192.168.2.201,35628,
Other,None,-,None,-,
TCP,192.168.2.201,35628,192.168.2.1,53,
Other,None,-,None,-,
TCP,192.168.2.1,53,192.168.2.201,35627,
TCP,192.168.2.1,53,192.168.2.201,35627,
Other,None,-,None,-,
TCP,192.168.2.201,35627,192.168.2.1,53,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
TCP,192.168.2.1,53,192.168.2.201,35627,
TCP,185.40.232.170,443,192.168.2.201,35630,Possible SSL/TLS traffic
TCP,192.168.2.201,35630,185.40.232.170,443,Possible SSL/TLS traffic
TCP,192.168.2.201,35630,185.40.232.170,443,Possible SSL/TLS traffic
TCP,185.40.232.170,443,192.168.2.201,35630,Possible SSL/TLS traffic
TCP,185.40.232.170,443,192.168.2.201,35630,Possible SSL/TLS traffic
TCP,185.40.232.170,443,192.168.2.201,35630,Possible SSL/TLS traffic
TCP,185.40.232.170,443,192.168.2.201,35630,Possible SSL/TLS traffic
TCP,192.168.2.201,35630,185.40.232.170,443,Possible SSL/TLS traffic
TCP,185.40.232.170,443,192.168.2.201,35630,Possible SSL/TLS traffic
TCP,192.168.2.201,35630,185.40.232.170,443,Possible SSL/TLS traffic
TCP,192.168.2.201,35630,185.40.232.170,443,Possible SSL/TLS traffic
TCP,192.168.2.201,35630,185.40.232.170,443,Possible SSL/TLS traffic
TCP,185.40.232.170,443,192.168.2.201,35630,Possible SSL/TLS traffic
TCP,192.168.2.201,35630,185.40.232.170,443,Possible SSL/TLS traffic
TCP,185.40.232.170,443,192.168.2.201,35630,Possible SSL/TLS traffic
TCP,185.40.232.170,443,192.168.2.201,35630,Possible SSL/TLS traffic
TCP,192.168.2.201,35630,185.40.232.170,443,Possible SSL/TLS traffic
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
Other,None,-,None,-,
